# Phase C work queue: the runtime diagnostics nothing provokes (reach.py --list ejecución, 2026-09-14).
# status: todo | cell (provoked + met by a cell) | manual (provoked by hand; a cell cannot ask it, the command is in `note`) | unreachable (with a reason in `note`) | n/a
# class:  diagnostic | internal? (suspected unreachable, to be confirmed) | fragment (part of another message) | test (a test's own string)
status	class	family	message	where	note
n/a	fragment	-	(year, month, day) or (year, month, day, hour, minute, second), each ###, plus an optional zone	zymbol-interpreter/src/stdlib/time.rs:121	
n/a	fragment	-	Array or String	zymbol-vm/src/lib.rs:2279	
n/a	fragment	-	Array, Tuple, NamedTuple, or String	zymbol-vm/src/lib.rs:2488	
n/a	fragment	-	Array, Tuple, or String	zymbol-vm/src/lib.rs:2341	
n/a	fragment	-	Char or String	zymbol-vm/src/lib.rs:2379	
n/a	fragment	-	Char, Int, or String	zymbol-vm/src/lib.rs:3497	
n/a	fragment	-	Int or String	zymbol-vm/src/lib.rs:2267	
n/a	fragment	-	String or Array	zymbol-vm/src/lib.rs:1840	
n/a	fragment	-	String, Array or dictionary	zymbol-vm/src/lib.rs:2193	
n/a	fragment	-	String, Array, or Tuple	zymbol-vm/src/lib.rs:2808	
n/a	fragment	-	a decimal count that is not negative	zymbol-vm/src/lib.rs:629	
n/a	fragment	-	a number with up to {} digits and {} decimals	zymbol-interpreter/src/io.rs:383	
n/a	fragment	-	a single character	zymbol-interpreter/src/io.rs:388	
n/a	fragment	-	a whole number as the decimal count	zymbol-vm/src/lib.rs:633	
n/a	fragment	-	an integer of up to {} digits	zymbol-interpreter/src/io.rs:385	
n/a	fragment	-	an optional zone String	zymbol-interpreter/src/stdlib/time.rs:101	
n/a	fragment	-	connection string	zymbol-interpreter/src/stdlib/db.rs:6	
n/a	fragment	-	non-negative Int	zymbol-vm/src/lib.rs:1854	
n/a	fragment	-	savepoint name	zymbol-interpreter/src/stdlib/db.rs:497	
n/a	fragment	-	text of up to {} characters	zymbol-interpreter/src/io.rs:387	
n/a	test	-	1 2 Fizz 4 Buzz Fizz 7 8 Fizz Buzz 11 Fizz 13 14 FizzBuzz \n	zymbol-interpreter/tests/e2e.rs:543	
n/a	test	-	Array type metadata: {}	zymbol-interpreter/tests/e2e.rs:496	
n/a	test	-	Bool type metadata: {}	zymbol-interpreter/tests/e2e.rs:493	
n/a	test	-	Char type metadata: {}	zymbol-interpreter/tests/e2e.rs:516	
n/a	test	-	Compile error: {}	zymbol-interpreter/tests/e2e.rs:41	
n/a	test	-	Expected lexer error but got none	zymbol-interpreter/tests/e2e.rs:54	
n/a	test	-	Expected runtime error	zymbol-interpreter/tests/e2e.rs:75	
n/a	test	-	Int type metadata: {}	zymbol-interpreter/tests/e2e.rs:487	
n/a	test	-	Lex errors: {:?}	zymbol-interpreter/tests/e2e.rs:37	
n/a	test	-	Parse error: {:?}	zymbol-interpreter/tests/e2e.rs:40	
n/a	test	-	Runtime error	zymbol-interpreter/tests/e2e.rs:27	
n/a	test	-	String type metadata: {}	zymbol-interpreter/tests/e2e.rs:490	
n/a	test	-	VM accepted a non-numeric string	zymbol-interpreter/tests/e2e.rs:1447	
n/a	test	-	VM error: {}	zymbol-interpreter/tests/e2e.rs:44	
