# Phase B work queue: the syntax diagnostics nothing provokes (reach.py --list sintaxis, 2026-09-14).
# status: todo | cell (provoked by a refusal cell) | unreachable (with a reason in `note`) | n/a
# class:  diagnostic | help (the `help:` line of a diagnostic, provoked with it) | internal? (to confirm) | token-payload (text inside a TokenKind::Error, not a diagnostic line) | fragment | test | data
status	class	family	message	where	note
n/a	data	-	Klingon pIqaD	zymbol-lexer/src/digit_blocks.rs:57	
n/a	fragment	-	format expression syntax: {}|expr|	zymbol-parser/src/data_ops.rs:72	
n/a	fragment	-	invalid boolean literal	zymbol-lexer/src/lib.rs:875	
n/a	fragment	-	mixed digit scripts	zymbol-lexer/src/literals.rs:447	
n/a	fragment	-	unterminated char	zymbol-lexer/src/literals.rs:212	
n/a	fragment	-	unterminated string	zymbol-lexer/src/literals.rs:99	
n/a	test	-	a bracket after a bracket is what the navigator is for: write `d[\"x\">\"y\"]$~ value`	zymbol-parser/src/lib.rs:1775	
n/a	test	-	a write reaches one place, so its path has no ranges	zymbol-parser/src/lib.rs:1776	
n/a	test	-	this edits what the expression produced, and nothing holds it — assign the result to a name first	zymbol-parser/src/lib.rs:1777	
n/a	token-payload	-	empty interpolation	zymbol-lexer/src/literals.rs:145	
n/a	token-payload	-	invalid code point: 0x{:X}	zymbol-lexer/src/literals.rs:512	
n/a	token-payload	-	invalid float: '{}'	zymbol-lexer/src/literals.rs:420	
n/a	token-payload	-	invalid integer: '{}'	zymbol-lexer/src/literals.rs:437	
n/a	token-payload	-	invalid interpolation	zymbol-lexer/src/literals.rs:133	
n/a	token-payload	-	unmatched close brace	zymbol-lexer/src/literals.rs:165	
n/a	token-payload	-	unterminated interpolation	zymbol-lexer/src/literals.rs:103	
unreachable	diagnostic	B10-control-flow	expected ':' after iterator variable	zymbol-parser/src/loops.rs:101	unreachable: a loop is parsed as for-each only when `name` is followed by `:` (loops.rs:87), so the colon check never fails
cell	diagnostic	B10-control-flow	expected '=>' after pattern	zymbol-parser/src/match_stmt.rs:55	syntax-control-flow/match-arm-without-arrow
cell	diagnostic	B10-control-flow	expected ']' to close list pattern	zymbol-parser/src/match_stmt.rs:256	syntax-control-flow/match-list-pattern-left-open
cell	diagnostic	B10-control-flow	expected '{' after match expression	zymbol-parser/src/match_stmt.rs:37	syntax-control-flow/match-without-brace
cell	diagnostic	B10-control-flow	expected '}' to close match expression	zymbol-parser/src/match_stmt.rs:95	syntax-control-flow/match-left-open
cell	diagnostic	B10-control-flow	expected char after '..' in range pattern	zymbol-parser/src/match_stmt.rs:208	syntax-control-flow/char-range-pattern-ends-in-a-number
cell	diagnostic	B10-control-flow	expected integer after '..' in range pattern	zymbol-parser/src/match_stmt.rs:173	syntax-control-flow/int-range-pattern-ends-in-a-char
unreachable	help	B10-control-flow	for-each syntax: @ var:iterable { }	zymbol-parser/src/loops.rs:103	unreachable: the help of the for-each colon check, which never fails
cell	help	B10-control-flow	match expression must be enclosed in braces	zymbol-parser/src/match_stmt.rs:97	syntax-control-flow/match-left-open
cell	help	B10-control-flow	use '_' (without '?') for an unconditional else branch	zymbol-parser/src/if_stmt.rs:32	syntax-control-flow/else-if-without-a-condition
unreachable	internal?	B10-control-flow	alternatives always contains the first pattern	zymbol-parser/src/match_stmt.rs:127	unreachable: the message of an .expect() on a Vec that always holds the first pattern
cell	diagnostic	B11-index-nav	expected ')' after computed index	zymbol-parser/src/index_nav.rs:345	syntax-index-nav/computed-step-left-open
cell	diagnostic	B11-index-nav	expected ']' after flat extraction	zymbol-parser/src/index_nav.rs:216	syntax-index-nav/flat-extraction-left-open
cell	diagnostic	B11-index-nav	expected ']' to close extraction group	zymbol-parser/src/index_nav.rs:186	syntax-index-nav/extraction-group-left-open
cell	diagnostic	B11-index-nav	expected ']' to close structured extraction	zymbol-parser/src/index_nav.rs:157	syntax-index-nav/structured-extraction-left-open
cell	diagnostic	B11-index-nav	expected integer after '-' in nav index	zymbol-parser/src/index_nav.rs:315	syntax-index-nav/negative-step-without-an-integer
cell	diagnostic	B11-index-nav	expected navigation step: a position (integer or variable) or a dictionary key (string)	zymbol-parser/src/index_nav.rs:356	syntax-index-nav/step-is-a-float-literal
